City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,Palana,100,RU,1572289166,67,59.08,159.95,32.22,1.25
87,Barbastro,76,ES,1572289166,100,42.04,0.13,59,1.12
88,Namibe,100,AO,1572289166,79,-15.19,12.15,70.43,12.19
89,Ribeira Grande,40,PT,1572289166,77,38.52,-28.7,68,20.8
90,Rodrigues Alves,90,BR,1572289167,94,-7.74,-72.65,75.2,10.29
91,Yulara,0,AU,1572289167,17,-25.24,130.99,64.4,5.82
92,Raudeberg,40,NO,1572289167,75,61.99,5.14,42.8,5.82
93,Vladimir,44,RU,1572289167,82,56.13,40.41,33.46,3.85
94,Makakilo City,40,US,1572289168,61,21.35,-158.09,80.6,3.36
95,Norman Wells,75,CA,1572289168,67,65.28,-126.83,23,24.16
96,Hofn,0,IS,1572289168,80,64.25,-15.21,30.2,4.7
97,Butaritari,85,KI,1572289168,70,3.07,172.79,84.49,10.67
98,Airai,47,TL,1572289168,82,-8.93,125.41,64.72,2.24
99,Akalkot,0,IN,1572289168,81,17.53,76.22,76.33,5.3
100,Kruisfontein,73,ZA,1572289169,65,-34,24.73,53.71,25.32
101,Hermanus,35,ZA,1572289169,96,-34.42,19.24,54,8.01
102,Cape Town,40,ZA,1572289164,54,-33.93,18.42,60.01,12.75
103,Steamboat Springs,1,US,1572289170,61,40.48,-106.83,28.4,2.64
104,Fare,82,PF,1572289170,79,-16.7,-151.02,79.36,16.49
105,Karratha,41,AU,1572289170,63,-20.74,116.85,81.77,1.99
106,Port Alfred,51,ZA,1572289170,70,-33.59,26.89,59,11.01
107,Verkhoyansk,64,RU,1572289170,88,67.55,133.39,-9.73,1.01
108,Hambantota,90,LK,1572289089,100,6.12,81.12,75.2,8.05
109,Georgetown,40,GY,1572289048,66,6.8,-58.16,87.8,9.17
110,Banjar,82,ID,1572289171,97,-7.37,108.54,70.63,1.34
111,Zharkent,48,KZ,1572289171,47,44.17,80,50.47,3.29
112,Bhuban,27,IN,1572289171,89,20.88,85.83,73.33,0.18
113,Albany,90,US,1572289171,59,42.65,-73.75,60.8,6.93
114,Macklin,100,CA,1572289172,73,52.34,-109.94,16.02,20.54
115,Nautla,93,MX,1572289172,67,20.22,-96.78,79.56,4.27
116,Arraial do Cabo,20,BR,1572289172,66,-22.97,-42.02,86,18.34
117,Chokurdakh,1,RU,1572289172,93,70.62,147.9,-5.32,2.84
118,Oranjemund,0,ZA,1572289172,64,-28.55,16.43,58.08,16.62
119,Morbegno,91,IT,1572289172,93,46.13,9.57,61,1.12
120,Sitka,55,US,1572289125,45,37.17,-99.65,34,11.01
121,Grindavik,75,IS,1572289173,80,63.84,-22.43,39.2,8.05
122,Aksu,75,KZ,1572289173,62,52.04,76.93,51.8,22.37
123,Todos Santos,5,MX,1572289174,25,23.45,-110.23,88,4.94
